latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
67.59621,83.24409,334.38,0.52,0.67,6/30/2025,3,N,VIIRS,n,2.0NRT,284.05,4.39,D
67.59536,83.24015,331.72,0.52,0.67,6/30/2025,3,N,VIIRS,n,2.0NRT,283.8,4.43,D
67.55054,83.20887,357.56,0.52,0.67,6/30/2025,3,N,VIIRS,l,2.0NRT,286.15,10.07,D
66.54691,76.69985,336.13,0.49,0.65,6/30/2025,5,N,VIIRS,n,2.0NRT,284.23,14.27,D
66.54266,77.17768,348.31,0.5,0.65,6/30/2025,5,N,VIIRS,n,2.0NRT,286.91,6.73,D
66.39236,77.14863,354.55,0.51,0.66,6/30/2025,5,N,VIIRS,n,2.0NRT,285.91,7.79,D
66.44619,77.09508,326.51,0.5,0.66,6/30/2025,5,N,VIIRS,n,2.0NRT,285.24,3.59,D
66.95847,75.54441,330.38,0.44,0.63,6/30/2025,5,N,VIIRS,n,2.0NRT,284.45,8.91,D
66.39371,77.14697,348.25,0.5,0.66,6/30/2025,5,N,VIIRS,n,2.0NRT,285.92,7.72,D
66.54291,77.17683,343.46,0.5,0.65,6/30/2025,5,N,VIIRS,n,2.0NRT,285.92,6.45,D
64.90472,75.51951,350.07,0.58,0.7,6/30/2025,5,N,VIIRS,n,2.0NRT,290.44,41.55,D
66.47968,77.17132,342.56,0.5,0.66,6/30/2025,5,N,VIIRS,n,2.0NRT,285.02,10.83,D
66.95505,75.55057,334.17,0.44,0.63,6/30/2025,5,N,VIIRS,n,2.0NRT,284.18,6.7,D
66.47575,77.17791,357.22,0.5,0.66,6/30/2025,5,N,VIIRS,l,2.0NRT,286.01,10.83,D
62.88959,73.60547,328.09,0.69,0.74,6/30/2025,5,N,VIIRS,n,2.0NRT,285.28,9.9,D
66.05422,77.01007,342.82,0.53,0.67,6/30/2025,5,N,VIIRS,n,2.0NRT,287.29,7.5,D
66.50443,77.07381,356.32,0.5,0.66,6/30/2025,5,N,VIIRS,n,2.0NRT,287.34,7.62,D
66.46935,77.13267,331,0.5,0.66,6/30/2025,5,N,VIIRS,n,2.0NRT,285.72,2.73,D
66.66929,80.44889,339.59,0.54,0.68,6/30/2025,5,N,VIIRS,n,2.0NRT,288.07,12.91,D
66.19714,77.23705,336.39,0.52,0.67,6/30/2025,5,N,VIIRS,n,2.0NRT,285.92,4.05,D
66.05065,77.3581,331.45,0.53,0.67,6/30/2025,5,N,VIIRS,n,2.0NRT,287.11,3.84,D
66.05486,77.35126,327.99,0.53,0.67,6/30/2025,5,N,VIIRS,n,2.0NRT,287.17,3.84,D
66.04955,77.35052,350.92,0.53,0.67,6/30/2025,5,N,VIIRS,n,2.0NRT,287.82,8.33,D
66.55067,76.69341,357.13,0.49,0.65,6/30/2025,5,N,VIIRS,l,2.0NRT,287.76,28.95,D
62.88531,73.60938,344.38,0.69,0.74,6/30/2025,5,N,VIIRS,n,2.0NRT,285.26,6.37,D
66.44395,77.10059,327.19,0.5,0.66,6/30/2025,5,N,VIIRS,n,2.0NRT,285.23,5,D
66.65839,80.45651,337.01,0.54,0.68,6/30/2025,5,N,VIIRS,n,2.0NRT,286.25,3.28,D
60.13234,16.18223,309.47,0.38,0.59,6/30/2025,7,N,VIIRS,n,2.0NRT,282.17,0.84,N
